sa	ta_csv
धर्म	तर्म,दर्म
अर्थ	अर्त्त
गौतम	कौदम
त्र्यम्बक	त्र्यम्बग
पद्दति	पत्तदि
पित	पिद
भगव	पगव
देह	तेह
पतिव्रत	पदिव्रद
निरूप	निरूब
स्वर्ग	स्वर्क्क
शौच	सौस
इतर	इदर
शौचाचार	सौसासार
साध्विगळुक्कु	सात्विगळुक्कु
वचनत्ताल्	वसनत्ताल्
वचनङ्गळाल्	वसनङ्गळाल्
उपनयनम्	उबनयनम्
गुरु	कुरु
शिष्य	सिष्य
अग्निकार्यम्	अक्निगार्यम्
अग्नि	अक्नि
अग्निशयनम्	अक्निसयनम्
सन्ध्योपासन	सन्द्योबासन
पतिसेव	पदिसेव
गुरुकुल	कुरुगुल
स्त्रीसूत्र	स्त्रीसूत्त
ध्यान	त्यान
देव	तेव
स्मृति 	स्मरुदि
भाग 	पाग
ब्राह्म 	प्राह्म	
दोष 	तोष
दम्पति 	तम्बदि
शयन 	सयन
श्मशान 	च्मसान
श्रोत्रि 	च्रोत्रि
सौभाग्य 	सौबाक्य
गो 	को
पापिष्ट 	पाबिष्ट
दुर्भाग्य 	तुर्बाक्य
धान्य 	तान्य
मार्कण्डेय 	मार्गण्डेय
सकल 	सगल
श्रेयस् 	च्रेयस्
धन 	तन
रश्मि 	रच्मि
गोमय 	कोमय
आनुशासन 	आनुसासन
सति	सदि
सुख	सुग
गति	कदि
श्रुति	च्रुदि
सौकर्य	सौगर्य
प्रकाश	प्रगास
चन्द्र	सन्द्र
लोक	लोग
नुग्रह	नुक्रह
स्मृति	स्म्रुदि
पेक्ष	बेक्ष
विशेष	विसेष
प्रधान	प्रदान
भर्त्ता	पर्त्ता
शरीर	सरीर
मार्ग	मार्क्क
प्रसिद्ध	प्रसित्त
विधि	विदि
नुमति	नुमदि
आज्ञै	आक्ञै
शुश्रूष	सुच्रूष
